Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,species
29393b08d39760c1e58ee04cfa8bf51c,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Candidatus_Nitrocosmicus,uncultured_archaeon
e5cb93d4056145af145fb1f2fd374419,Archaea, Halobacterota, Halobacteria, Halobacterales,Unassigned,Unassigned,Unassigned
edbeeb45fb0bff357c2b0bd08f13ba2a,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae,Unassigned,Unassigned
1427435456d4da78e4d4f36902b0a273,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae,Unassigned,Unassigned
9d9368f176526ca4a9bb79cd0ed894eb,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Candidatus_Nitrocosmicus,Unassigned
bc3676c17839094c4fa8e33268905268,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Candidatus_Nitrocosmicus,Unassigned
1dc39cd569a432ce57ada7a7beb81830,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Candidatus_Nitrocosmicus,Unassigned
bbf479f184d47c6769249b7a6a92eeb6,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Candidatus_Nitrocosmicus,Unassigned
b6d3d40b2b3bc585251bed8ba2b13820,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Candidatus_Nitrocosmicus,Unassigned
77207260e4ce2d895590307d032cecc1,Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Nitrososphaeraceae,Unassigned
106f34a47e6278d0fc28ef5fbd99dbc8,Bacteria, Proteobacteria, Alphaproteobacteria, Acetobacterales, Acetobacteraceae, Roseomonas, Acetobacteraceae_bacterium
c514e934239bda224eb38e507b0c7f34,Bacteria, Proteobacteria, Alphaproteobacteria, Acetobacterales, Acetobacteraceae, Roseomonas, Acetobacteraceae_bacterium
7d88f57f9945f995436415ace38245ea,Bacteria, Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacter, Acidobacteria_bacterium
f89c030a82b1ea06fa24cb3cf9092eec,Bacteria, Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacter, Acidobacteria_bacterium
34add296489b707cb3565aa975737cd8,Bacteria, Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacter, Acidobacteria_bacterium
8bbdaedfc50c117cf73f7ffbdbe28a5c,Bacteria, Acidobacteriota, Acidobacteriae, Bryobacterales, Bryobacteraceae, Bryobacter, Acidobacteria_bacterium
