Feature ID,Domain,Super_Groups,Super_Kingdom,Kingdom,Phylum,Class,Family,Genus,species
731ca8a910a6150d2473b3c8822943b8,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Unassigned,Unassigned
e813ce7be11fc852ad4e877ec6a70ec2,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Branchiopoda,Daphnia,Daphnia_pulex
93c2a98f63dbce31fed8e5e722028733,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Branchiopoda,Simocephalus,Simocephalus_vetulus
fc851757e1f82f8c74cd21984f333c59,Eukaryota,Obazoa,Opisthokonta,Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
3bcc2665b459f3296dc6548ecce5343e,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Paraphysomonadales,Paraphysomonadaceae,Paraphysomonas,Paraphysomonas_uniformis
37f137f0e3bb1ad85dc7fdadbb778523,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
89cb487f00285054300998f26235511e,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Unassigned,Unassigned
17061ddc0fe9a452eb8071b1c3555019,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Unassigned,Unassigned,Unassigned
4f4aed0a7d70916bcdce6011ea2d52fa,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Desmodesmus,Unassigned
d70afb45250882f8325a5529cd4fc28d,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Branchiopoda,Chydorus,Chydorus_sphaericus
4c30314471329ba261d181f63d34e9cf,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadaceae,Poterioochromonas,Poterioochromonas_sp.
c365a4a091be2334f85a2d91cf49acd8,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadaceae,Poteriospumella,Unassigned
ba160635e2cbcc3d55e7a7c53a3fdafc,Eukaryota,TSAR,Stramenopiles,Bigyra,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
0bfe8c8115af63262b3e7d2bbd645e2e,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Unassigned,Unassigned
625b610766de119a25fe71dd59472ff5,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Ettlia,Ettlia_carotinosa
be9801b2bd0033ddf9053d21eaa43b59,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Cyclops,Cyclops_sp.
24b513b2233f3cffb76412a4cf198d6f,Eukaryota,TSAR,Stramenopiles,Gyrista,Eustigmatophyceae,Eustigmatophyceae_X,Eustigmatophyceae_XX,Nannochloropsis,Unassigned
0206c9bed6954cc93e9f17e5e0d841be,Eukaryota,TSAR,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,Leptophryidae,Vernalophrys,Vernalophrys_algivore
6c9f4c584b523bb9b1ab72380899247d,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
a16861099ae11dde40807367f66edcf4,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Paraphysomonadales,Paraphysomonadaceae,Paraphysomonas,Paraphysomonas_sp.
214967125f81bd4b97485e41bb12ce98,Eukaryota,TSAR,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,Unassigned,Unassigned,Unassigned
7deddb031a8f1bc83d22a788fc778156,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Rhodotorula,Unassigned
0923c9211e9290f4f72c0a1fd73c0090,Eukaryota,Obazoa,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Tremellomycetes,Unassigned,Unassigned
8fbb8802d1e6973ea32b9c684dbb67b3,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Unassigned,Unassigned
ff45135beba2fe982c0f0cc56355fbc0,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadales_clade-X,Ochromonadales_clade-X_X,Ochromonadales_clade-X_X_sp.
2f14250ba14f2ad75812ef8c99cec3fe,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Ochromonadales,Ochromonadaceae,Chlorochromonas,Chlorochromonas_sp.
66e8bce898463bf549c6a575f7e3c015,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Oxytrichidae,Oxytricha,Oxytricha_longa
5a231c3aa1e61c56b80b5a3cd0656c53,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
36daa2ad55c0fb17aecdf142aa4e4657,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Unassigned,Unassigned
