tank_id,trt_code,date,r1_ugl,r2_ugl,r3_ugl
1,A0,3/13/2023,10.276,9.768,9.736
2,C3,3/13/2023,13.158,13.586,12.372
3,B6,3/13/2023,3.74,3.648,3.626
4,C7,3/13/2023,40.052,37.491,37.034
5,A3,3/13/2023,59.699,58.735,58.635
6,B2,3/13/2023,3.445,3.433,3.424
7,C5,3/13/2023,7.515,7.374,7.275
8,B3,3/13/2023,3.589,3.576,3.559
9,A1,3/13/2023,3.485,3.415,3.363
10,B9,3/13/2023,3.82,3.806,3.801
11,B5,3/13/2023,41.499,39.487,38.82
12,C0,3/13/2023,11.853,11.108,10.932
13,A9,3/13/2023,3.303,3.299,3.33
14,C6,3/13/2023,4.501,4.525,4.532
15,B0,3/13/2023,48.877,48.314,47.387
16,B8,3/13/2023,56.99,54.463,53.596
17,A6,3/13/2023,3.418,3.401,3.392
18,C2,3/13/2023,3.179,3.17,3.165
19,A8,3/13/2023,3.118,3.114,3.107
20,B7,3/13/2023,3.219,3.213,3.208
21,C9,3/13/2023,3.794,3.79,3.784
22,C8,3/13/2023,40.025,38.246,39.1
23,A7,3/13/2023,3.37,3.376,3.376
24,A5,3/13/2023,4.691,4.699,4.803
25,C1,3/13/2023,3.695,3.703,3.679
26,B4,3/13/2023,21.091,20.388,20.165
27,A4,3/13/2023,3.284,3.265,3.334
28,B1,3/13/2023,3.084,3.074,3.092
29,A2,3/13/2023,3.097,3.089,3.084
30,C4,3/13/2023,3.175,3.162,3.156
1,A0,3/7/2023,14.172,14.096,14.036
2,C3,3/7/2023,22.371,21.654,21.517
3,B6,3/7/2023,15.161,15.026,15.333
4,C9,3/7/2023,33.767,33.076,31.576
5,A3,3/7/2023,70.743,71.562,69.952
6,B2,3/7/2023,22.732,22.053,22.764
7,C5,3/7/2023,28.626,28.855,28.226
8,B3,3/7/2023,29.226,29.119,29.349
9,A1,3/7/2023,24.392,23.901,24.063
10,B9,3/7/2023,12.838,12.779,12.786
11,B5,3/7/2023,37.227,36.493,35.565
12,C0,3/7/2023,13.986,14.311,14.253
13,A9,3/7/2023,19.575,19.236,19.289
14,C6,3/7/2023,22.138,21.931,22.177
15,B0,3/7/2023,57.744,56.146,57.861
16,B8,3/7/2023,65.982,65.45,63.191
17,A6,3/7/2023,64.616,62.764,58.105
18,C2,3/7/2023,40.069,38.183,38.306
19,A8,3/7/2023,11.788,11.776,11.692
20,B7,3/7/2023,27.552,27.427,26.363
