Tank_ID,date,AM_PM,temp_C,DO_perc,DO_mgL
1,3/5/2022,PM,16.9,117,11.33
2,3/5/2022,PM,16.8,120.6,11.78
3,3/5/2022,PM,16.7,112.5,10.96
4,3/5/2022,PM,16.6,112.9,10.99
5,3/5/2022,PM,16.7,133.9,12.1
6,3/5/2022,PM,16.5,112.4,10.77
7,3/5/2022,PM,16.4,119.9,11.78
8,3/5/2022,PM,16.2,120.3,11.82
9,3/5/2022,PM,16.2,119,11.73
10,3/5/2022,PM,16.1,117.5,11.51
11,3/5/2022,PM,16.3,119.7,11.74
12,3/5/2022,PM,16.3,117.7,11.52
13,3/5/2022,PM,16.1,112.8,11.07
14,3/5/2022,PM,16.1,117.9,11.67
15,3/5/2022,PM,16.1,113.7,12.05
16,3/5/2022,PM,16.3,124.3,12.16
17,3/5/2022,PM,16.3,126,12.37
18,3/5/2022,PM,16.1,119.7,11.8
19,3/5/2022,PM,16.2,122.6,12.06
20,3/5/2022,PM,16.3,118.3,11.6
21,3/5/2022,PM,16.3,113.6,11.1
22,3/5/2022,PM,16.1,110.6,10.87
23,3/5/2022,PM,16.2,114.2,11.12
24,3/5/2022,PM,16.1,109.6,10.73
25,3/5/2022,PM,16.2,125.5,12.45
26,3/5/2022,PM,16.6,112.1,10.91
27,3/5/2022,PM,16.6,119.1,11.65
28,3/5/2022,PM,16.6,108.5,10.55
29,3/5/2022,PM,16.6,123.7,12.07
30,3/5/2022,PM,16.5,115,11.17
1,3/6/2023,AM,11.3,102,11.12
2,3/6/2023,AM,11.3,102.7,11.2
3,3/6/2023,AM,11.3,95,10.35
4,3/6/2023,AM,11.2,91.9,10.09
5,3/6/2023,AM,11.1,110.7,12.16
6,3/6/2023,AM,11.2,93.6,10.22
7,3/6/2023,AM,11.4,100.4,10.47
8,3/6/2023,AM,11.3,100,10.91
9,3/6/2023,AM,11.4,99.3,10.82
10,3/6/2023,AM,11.2,96.1,10.53
11,3/6/2023,AM,11.2,100.5,11.05
12,3/6/2023,AM,11.4,98.6,10.73
13,3/6/2023,AM,11.4,96.1,10.47
14,3/6/2023,AM,11.4,99.5,10.89
15,3/6/2023,AM,11.1,102.2,11.23
16,3/6/2023,AM,11.3,103.8,11.38
17,3/6/2023,AM,11.4,105.4,11.52
18,3/6/2023,AM,11.4,101,10.49
19,3/6/2023,AM,11.4,101.4,11.05
20,3/6/2023,AM,11.3,98,10.68
21,3/6/2023,AM,11.1,94,10.33
22,3/6/2023,AM,11.2,92.3,10.12
23,3/6/2023,AM,11.4,96.1,10.5
24,3/6/2023,AM,11.2,94,10.27
25,3/6/2023,AM,11.2,103.1,11.32
26,3/6/2023,AM,10.9,93.8,10.33
27,3/6/2023,AM,11.1,98.9,10.88
28,3/6/2023,AM,11.2,86.8,9.49
29,3/6/2023,AM,11.2,99.9,11.04
30,3/6/2023,AM,11,95.3,10.44
1,3/6/2023,PM,17.2,117.6,11.3
2,3/6/2023,PM,17.1,125.1,12
3,3/6/2023,PM,17,112.2,10.85
4,3/6/2023,PM,17,113,10.88
5,3/6/2023,PM,17,138.4,13.7
6,3/6/2023,PM,16.9,110.6,10.7
7,3/6/2023,PM,16.8,120.7,11.72
8,3/6/2023,PM,16.7,122,11.82
9,3/6/2023,PM,16.8,120.9,11.72
10,3/6/2023,PM,16.8,119.6,11.57
11,3/6/2023,PM,16.8,120.9,11.76
12,3/6/2023,PM,16.9,119.2,11.53
13,3/6/2023,PM,16.7,114.2,11.1
14,3/6/2023,PM,16.7,117.9,11.57
15,3/6/2023,PM,16.7,125,12.07
16,3/6/2023,PM,16.9,125.5,12.21
17,3/6/2023,PM,16.8,128.2,12.49
18,3/6/2023,PM,16.6,122.4,11.9
19,3/6/2023,PM,16.7,125,12.13
20,3/6/2023,PM,16.9,119.8,11.57
21,3/6/2023,PM,16.8,114.9,11.13
22,3/6/2023,PM,16.6,114.2,11.09
23,3/6/2023,PM,16.7,115.9,11.21
24,3/6/2023,PM,16.7,111.1,10.76
25,3/6/2023,PM,16.8,128.7,12.47
26,3/6/2023,PM,17.3,113.6,10.92
27,3/6/2023,PM,17.4,121.6,11.65
28,3/6/2023,PM,17.3,110,10.53
29,3/6/2023,PM,17.3,126.1,12.09
30,3/6/2023,PM,17.4,116.1,11.09
1,3/7/2023,AM,12.4,108.1,11.4
2,3/7/2023,AM,12.3,107.2,11.43
3,3/7/2023,AM,12.4,96.7,10.3
4,3/7/2023,AM,12.3,95.1,10.15
5,3/7/2023,AM,12.2,113.9,12.22
6,3/7/2023,AM,12.4,95.6,10.17
7,3/7/2023,AM,12.5,102,10.85
8,3/7/2023,AM,12.4,101.1,10.75
9,3/7/2023,AM,12.5,101,10.72
10,3/7/2023,AM,12.4,97.7,10.41
11,3/7/2023,AM,12.4,103.5,11.05
12,3/7/2023,AM,12.6,99.5,10.54
