tank.id,tank.number,count.date,sample.date,sample.period,who.counted,prop.counted,hours,taxa.code,count,photo.id,measured ,number.measured,length (mm)
A0,1,5/16/2023,4/12/2023,,ABS,1,,cyc,2,N/A,,0,0
A0,1,5/16/2023,4/12/2023,,ABS,1,,unknown cladoceran,1,N/A,,0,0
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,1.618
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,1.509
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,1.381
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,2.162
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,1.214
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,1.668
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,2.332
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,2.652
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,1.567
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,1.828
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,1.482
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,1.954
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,2.311
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,0.875
A0,1,5/16/2023,4/12/2023,,ABS,1,,dap,36,4.12.23_A0_dap_GV01,,15,1.218
A0,1,5/16/2023,4/12/2023,,ABS,1,,chy,296,4.12.23_A0_chy_GV,,27,0.53
A0,1,5/16/2023,4/12/2023,,ABS,1,,chy,296,4.12.23_A0_chy_GV,,27,0.34
A0,1,5/16/2023,4/12/2023,,ABS,1,,chy,296,4.12.23_A0_chy_GV,,27,0.426
A0,1,5/16/2023,4/12/2023,,ABS,1,,chy,296,4.12.23_A0_chy_GV,,27,0.364
A0,1,5/16/2023,4/12/2023,,ABS,1,,chy,296,4.12.23_A0_chy_GV,,27,0.451
A0,1,5/16/2023,4/12/2023,,ABS,1,,chy,296,4.12.23_A0_chy_GV,,27,0.531
A0,1,5/16/2023,4/12/2023,,ABS,1,,chy,296,4.12.23_A0_chy_GV,,27,0.401
A0,1,5/16/2023,4/12/2023,,ABS,1,,chy,296,4.12.23_A0_chy_GV,,27,0.437
A0,1,5/16/2023,4/12/2023,,ABS,1,,chy,296,4.12.23_A0_chy_GV,,27,0.392
A0,1,5/16/2023,4/12/2023,,ABS,1,,chy,296,4.12.23_A0_chy_GV,,27,0.386
A0,1,5/16/2023,4/12/2023,,ABS,1,,chy,296,4.12.23_A0_chy_GV,,27,0.398
A0,1,5/16/2023,4/12/2023,,ABS,1,,chy,296,4.12.23_A0_chy_GV,,27,0.351
A0,1,5/16/2023,4/12/2023,,ABS,1,,chy,296,4.12.23_A0_chy_GV,,27,0.335
